Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
32.0,6,243.6,3861.091779434779,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22080,66,4350,2208.0,1213.5666442350828,2208.0,0.000258994102478,10,1472744.0
32.0,6,244.0,5310.59002279058,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21726,1140,4350,2172.6,1043.2121548371645,2172.6,0.0002240180969238,10,1088291.6
32.0,6,244.0,3120.0654615785165,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26364,1494,4350,2636.4,903.1464997440892,2636.4,0.0003517866134643,10,815673.6000000001
32.0,6,244.0,4347.78065719913,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22080,1494,2922,2208.0,752.6220831200743,2208.0,0.0002583026885986,10,566440.0
32.0,6,244.0,3819.9489981785055,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,1494,2922,2350.8,737.4160291178922,2350.8,0.0003135919570922,10,543782.4
32.0,6,244.0,3167.664073710445,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27792,1494,4350,2779.2,810.5987910180967,2779.2,0.0003489971160888,10,657070.3999999999
30.4,6,226.7,926.3448032156896,0.0,0.1,0.0,0.6,0.9,0.0,0.0,9,1,0,0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,19380,66,2922,1938.0,1331.5708350999917,1938.0,0.0012157201766967,10,1773080.888888889
32.0,6,64.0,285326.80272108846,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,3.790855407714844e-06,10,0.0
32.0,6,64.0,343795.40983606555,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,3.0040740966796874e-06,10,0.0
32.0,6,172.0,1311.621739946213,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,66,2922,1494.0,1346.3313113791864,1494.0,0.0007930040359497,10,1812608.0
32.0,6,226.0,1122.3419228813789,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,66,2922,2350.8,998.4660234579842,2350.8,0.0008912801742553,10,996934.3999999998
32.0,6,244.0,3787.865980312472,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,1494,2922,2350.8,737.4160291178922,2350.8,0.0003263235092163,10,543782.4
32.0,6,244.0,3148.6404924555213,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29220,1494,4350,2922.0,673.1656556895932,2922.0,0.0003498792648315,10,453152.0
32.0,6,244.0,3785.131305838823,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,1494,2922,2350.8,737.4160291178922,2350.8,0.0003225088119506,10,543782.4
32.0,6,244.0,3239.5952730362246,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27792,1494,4350,2779.2,1053.670916368104,2779.2,0.000339388847351,10,1110222.4
32.0,6,244.0,3413.0555781593293,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24936,1494,2922,2493.6,689.7895331186173,2493.6,0.0003230094909667,10,475809.6
32.0,6,136.0,9258.949227373068,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10141,66,2922,1014.1,1151.4943382887782,1014.1,0.0001670122146606,10,1325939.2111111109
32.0,6,100.0,3093.1445427728613,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6924,66,2922,692.4,1187.640349600838,692.4,0.0003233909606933,10,1410489.6000000003
32.0,6,208.0,796.744866363999,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,66,2922,2350.8,1204.195332992119,2350.8,0.0012552976608276,10,1450086.3999999997
32.0,6,244.0,2701.2970953822373,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28557,831,4350,2855.7,1077.3360200049008,2855.7,0.0004005908966064,10,1160652.9
32.0,6,244.0,3190.7980220616205,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29220,1494,4350,2922.0,952.0,2922.0,0.0004902124404907,10,906304.0
32.0,6,244.0,3386.5999192571658,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26364,1494,4350,2636.4,1126.421590702167,2636.4,0.0003300905227661,10,1268825.6
32.0,6,172.0,6853.437908496732,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,66,4350,1494.0,1505.2441662401486,1494.0,0.0001823186874389,10,2265760.0
32.0,6,244.0,4048.5559845559847,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24936,1494,4350,2493.6,1175.6332761537503,2493.6,0.0002811908721923,10,1382113.6000000003
32.0,6,208.0,4516.803790652595,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18348,66,4350,1834.8,1241.8721351250297,1834.8,0.0002491950988769,10,1542246.4
32.0,6,118.0,10277.63783386425,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9480,66,4350,948.0,1521.4335345324816,948.0,0.0001310110092163,10,2314760.0
32.0,6,64.0,277768.4768211921,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,3.6954879760742183e-06,10,0.0
32.0,6,82.0,29852.6975088968,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4944,66,4350,494.4,1354.7197496161336,494.4,3.590583801269531e-05,10,1835265.6
32.0,6,244.0,4376.360601001669,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,1494,4350,2350.8,998.4660234579842,2350.8,0.0002560853958129,10,996934.4
32.0,6,244.0,2884.4673681314903,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29220,1494,4350,2922.0,673.1656556895932,2922.0,0.0003762006759643,10,453152.0
32.0,6,225.6,1408.0515643883443,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25641,66,4350,2564.1,1129.2528946166133,2564.1,0.0008898973464965,10,1275212.1
32.0,6,244.0,5906.63850161949,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22080,1494,4350,2208.0,1009.7484835343898,2208.0,0.0001693964004516,10,1019592.0
32.0,6,244.0,6305.32772098617,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22080,1494,4350,2208.0,1009.7484835343898,2208.0,0.0001911163330078,10,1019592.0
32.0,6,244.0,5757.452299245024,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22080,1494,4350,2208.0,1009.7484835343898,2208.0,0.0001737833023071,10,1019592.0
32.0,6,244.0,5760.61530009614,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24936,1494,4350,2493.6,963.8265404106696,2493.6,0.0002010107040405,10,928961.6
32.0,6,136.0,14578.741744873132,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12084,66,4350,1208.4,1621.1975820361934,1208.4,9.829998016357422e-05,10,2628281.6
32.8,6,190.0,571.1353795037991,0.0,0.1,0.0,0.3,0.9,0.0,0.0,9,1,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16376,66,4350,1637.6,1419.0631651433514,1637.6,0.0017816066741943,10,2013740.2666666664
32.0,6,82.0,1381.3865560056647,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4085,66,2922,408.5,901.0755610195332,408.5,0.0007241010665893,10,811937.1666666666
32.0,6,244.0,4372.25476910247,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32076,1494,4350,3207.6,1126.421590702167,3207.6,0.0002619981765747,10,1268825.6
32.0,6,244.0,3853.642043366409,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34932,1494,4350,3493.2,998.4660234579842,3493.2,0.0002956867218017,10,996934.4
32.0,6,244.0,6211.023248926403,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17796,1494,2922,1779.6,602.0976664960593,1779.6,0.0001612186431884,10,362521.5999999999
32.0,6,208.0,1068.5035919906252,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13967,66,2922,1396.7,831.9925280113197,1396.7,0.0009359836578369,10,692211.5666666667
32.0,6,136.0,1382.160416529361,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10656,66,4350,1065.6,1512.7516650131308,1065.6,0.0007236003875732,10,2288417.6
32.0,6,244.0,5592.405333333333,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23508,1494,4350,2350.8,998.4660234579842,2350.8,0.000212812423706,10,996934.4
32.0,6,244.0,6097.258322430585,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22080,1494,4350,2208.0,1009.7484835343898,2208.0,0.0001816034317016,10,1019592.0
32.0,6,244.0,5183.912989741688,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24936,1494,4350,2493.6,1175.6332761537503,2493.6,0.0002028942108154,10,1382113.6000000003
