Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
19.6,6,68.4,13.173942486120309,0.1,0.1,0.0,0.0,0.6,0.0,0.0,6,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.2,0.1,0.0,0.8,0.8,656,60,78,65.6,6.239658110292048,65.6,0.0759074211120605,10,38.93333333333333
14.4,17,81.1,19.077340409418994,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.1,0.0,0.0,0.9,0.9,1055,60,218,105.5,65.39665298944757,105.5,0.0569357872009277,10,4276.722222222223
14.4,17,115.2,23.39964239190165,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.1,0.0,0.0,0.9,0.9,1145,60,230,114.5,63.77259948006232,114.5,0.0438960075378418,10,4066.944444444444
28.8,6,161.4,122.5204551097609,0.0,0.2,0.0,0.3,0.7,0.0,0.0,7,2,0,0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1597,66,529,159.7,146.57652532986918,159.7,0.0083621978759765,10,21484.67777777778
16.0,6,95.4,51.14306338646429,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.1,0.1,0.0,0.9,0.9,1728,60,385,172.8,100.90677766026312,172.8,0.0195534944534301,10,10182.177777777775
18.4,6,114.5,28.561883340585645,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.1,0.1,0.0,0.9,0.9,1472,60,230,147.2,69.21913672452791,147.2,0.0874949932098388,10,4791.288888888888
5.6,17,80.2,32.5464805169813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.7,0.7,1210,60,230,121.0,70.6242010770938,121.0,0.0322134971618652,10,4987.777777777777
27.2,6,78.7,47.36014019572751,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1244,60,505,124.4,135.37782519879525,124.4,0.0304179191589355,10,18327.15555555556
18.4,6,85.2,34.54433444794017,0.0,0.0,0.0,0.1,0.5,0.0,0.0,5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1048,60,230,104.8,69.24481528926512,104.8,0.0304605960845947,10,4794.844444444444
27.2,6,93.2,17.44025979696086,0.0,0.1,0.0,0.3,0.7,0.0,0.0,7,1,0,0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1104,60,214,110.4,59.59716622644253,110.4,0.058203387260437,10,3551.8222222222225
8.0,17,108.6,18.93420007222824,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.1,0.3,0.0,0.9,0.9,1606,60,230,160.6,70.50327021572198,160.6,0.0679625034332275,10,4970.711111111111
19.2,6,131.6,12.21399440596503,0.0,0.1,0.0,0.1,0.5,0.0,0.0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.1,0.1,0.0,0.9,0.9,1818,60,583,181.8,171.3079099166177,181.8,0.0822736978530883,10,29346.400000000005
14.8,6,108.4,13.911686760974478,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.1,0.1,0.0,0.9,0.9,1111,60,230,111.1,62.045592555439065,111.1,0.073001217842102,10,3849.655555555556
16.0,6,85.2,31.10746873718319,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.8,0.8,1122,60,218,112.2,52.83264983785016,112.2,0.0323745012283325,10,2791.2888888888883
13.6,17,135.6,39.53258044023699,0.0,0.1,0.0,0.1,0.2,0.0,0.0,2,1,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1181,60,230,118.1,66.0175902485256,118.1,0.025295877456665,10,4358.322222222222
21.2,6,171.4,22.903836524111448,0.1,0.2,0.0,0.1,0.7,0.0,0.0,7,2,1,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,835,60,214,83.5,49.74434641243163,83.5,0.0508669137954711,10,2474.5
12.0,17,180.6,67.29384131099566,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,0.0,0.0,0.9,0.9,1526,60,230,152.6,66.50847899161262,152.6,0.0153035879135131,10,4423.377777777777
22.8,6,135.6,101.27597513920212,0.0,0.0,0.0,0.4,0.8,0.0,0.0,8,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.1,0.0,1.0,1.0,1359,60,230,135.9,67.99746727309449,135.9,0.010949420928955,10,4623.655555555555
19.6,6,227.1,42.77527576528947,0.0,0.1,0.0,0.4,0.7,0.0,0.0,7,1,0,0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1916,60,411,191.6,133.9744585940005,191.6,0.0233781814575195,10,17949.155555555553
