Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
14.4,17,74.3,31.8211951429536,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.1,0.0,0.0,0.9,0.9,759,60,95,75.9,11.864512913165322,75.9,0.0314255952835083,10,140.76666666666668
16.0,6,74.2,140.49669384391728,0.0,0.1,0.0,0.1,0.3,0.0,0.0,3,1,0,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.2,0.1,0.0,0.8,0.8,1151,60,320,115.1,85.84410935591976,115.1,0.0084681034088134,10,7369.211111111111
20.4,6,70.6,91.4945868535691,0.0,0.1,0.0,0.2,0.9,0.0,0.0,9,1,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,1.0,1.0,4966,60,1214,496.6,523.0279788564534,496.6,0.0121927976608276,10,273558.26666666666
13.2,6,76.7,42.15618165444487,0.0,0.0,0.0,0.1,0.5,0.0,0.0,5,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,1105,60,321,110.5,87.58139071743494,110.5,0.0244846105575561,10,7670.5
15.2,6,71.2,39.342500703498736,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1211,60,347,121.1,96.14970965461448,121.1,0.0306855916976928,10,9244.766666666666
22.4,6,60.5,86.73408025939757,0.2,0.1,0.0,0.4,0.8,0.0,0.0,8,1,2,0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1283,60,491,128.3,131.49486681996376,128.3,0.0205729961395263,10,17290.900000000005
15.6,17,102.7,107.56501133530976,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,0.0,0.0,0.9,0.9,1034,60,230,103.4,60.67252718945829,103.4,0.0094896078109741,10,3681.155555555556
12.0,17,102.3,19.781812144888207,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1582,66,230,158.2,65.49944868300632,158.2,0.0654563903808593,10,4290.177777777778
20.0,6,98.7,13.837075462018923,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1270,60,230,127.0,58.77452206904319,127.0,0.0736560106277465,10,3454.4444444444443
5.6,17,104.5,43.64029848882748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,0.1,0.0,0.8,0.8,1208,60,230,120.8,76.72287794393534,120.8,0.0241693973541259,10,5886.4
